ID,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE74899_14d,GSE86338_C,GSE86338_A,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d,GSE148361
R-MMU-159236,1,0,0,0,0,0,0,0,0,0
mmu05215,1,0,0,0,0,0,0,0,0,0
R-MMU-8953854,1,0,0,0,0,0,0,0,0,0
mmu04621,1,0,0,0,0,0,0,0,0,0
mmu03040,1,0,0,0,0,0,0,0,0,0
R-MMU-73856,1,0,0,0,0,0,0,0,0,0
R-MMU-72187,1,0,0,0,0,0,0,0,0,0
mmu05202,1,0,0,0,0,0,0,0,0,0
mmu04623,1,0,0,0,0,0,0,0,0,0
R-MMU-3232142,1,0,0,0,0,0,0,0,0,0
R-MMU-1280215,1,0,0,0,0,0,0,0,0,0
R-MMU-3108232,1,0,0,0,0,0,0,0,0,0
R-MMU-2990846,1,0,0,0,0,0,0,0,0,0
R-MMU-168898,1,0,0,0,0,0,0,0,0,0
R-MMU-72172,1,0,0,0,0,0,0,0,0,0
R-MMU-168643,1,0,0,0,0,0,0,0,0,0
mmu05144,0,0,0,0,0,1,0,0,0,0
R-MMU-2029481,0,0,0,0,0,1,0,0,0,0
R-MMU-112313,0,0,0,0,0,1,0,0,0,0
R-MMU-210455,0,0,0,0,0,1,0,0,0,0
R-MMU-5576891,0,0,0,0,0,1,0,0,0,0
mmu05165,0,0,0,0,1,0,0,0,0,0
mmu04510,0,0,0,0,1,0,0,0,0,0
mmu04151,0,0,0,0,1,0,0,0,0,0
R-MMU-3000157,0,0,0,0,1,0,0,0,0,0
mmu05414,0,0,0,0,1,0,0,0,0,0
R-MMU-1566948,0,0,0,0,1,0,0,0,0,0
R-MMU-186797,0,0,0,0,1,0,0,0,0,0
mmu04916,0,0,0,0,1,0,0,0,0,0
R-MMU-419037,0,0,0,0,1,0,0,0,0,0
mmu04310,0,0,0,0,1,0,0,0,0,0
R-MMU-2243919,0,0,0,0,1,0,0,0,0,0
mmu05217,0,0,0,0,1,0,0,0,0,0
mmu04934,0,0,0,0,1,0,0,0,0,0
mmu04970,0,0,0,0,1,0,0,0,0,0
mmu04270,0,0,0,0,1,0,0,0,0,0
R-MMU-2129379,0,0,0,0,1,0,0,0,0,0
R-MMU-1474228,0,0,0,0,1,0,0,0,0,0
mmu04022,0,0,0,0,1,0,0,0,0,0
R-MMU-2168880,0,0,0,0,1,0,0,0,0,0
mmu04550,0,0,0,0,1,0,0,0,0,0
R-MMU-1442490,0,0,0,0,1,0,0,0,0,0
R-MMU-3238698,0,0,0,0,1,0,0,0,0,0
mmu04360,0,0,0,0,1,0,0,0,0,0
mmu04350,0,0,0,0,1,0,0,0,0,0
R-MMU-1266738,0,0,0,0,1,0,0,0,0,0
R-MMU-166020,0,0,0,0,1,0,0,0,0,0
R-MMU-9026286,0,0,0,0,1,0,0,0,0,0
R-MMU-9006934,0,0,0,0,1,0,0,0,0,0
mmu04713,0,0,0,0,1,0,0,0,0,0
R-MMU-1630316,0,0,0,0,1,0,0,0,0,0
R-MMU-2132295,0,0,0,1,0,0,0,0,0,0
R-MMU-5621480,0,0,0,1,0,0,0,0,0,0
R-MMU-2029485,0,0,0,1,0,0,0,0,0,0
R-MMU-1679131,0,0,0,1,0,0,0,0,0,0
mmu04142,0,0,0,1,0,0,0,0,0,0
R-MMU-8951430,0,0,0,1,0,0,0,0,0,0
R-MMU-375276,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
