,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
Trpm4,0,0,0,0,1,0,1,0
Prpf39,0,1,0,0,0,0,0,0
Tek,0,1,0,0,1,0,1,0
Ndufa7,0,0,0,0,1,0,0,0
Prpf4b,0,1,0,0,0,0,0,0
Prex1,0,0,0,0,0,0,1,0
Prps1,0,1,0,0,0,0,1,0
Slc9a3r1,0,1,0,0,1,0,1,0
Prps1l3,0,1,0,0,0,0,0,0
Hspa4l,0,0,0,0,0,0,1,0
Prrx1,0,1,0,0,1,0,1,0
Ndufaf5,0,0,0,0,1,0,1,0
Clptm1,0,0,0,0,0,0,1,0
Prss23,0,1,0,0,1,0,0,0
Ndufaf7,0,0,0,0,1,0,0,0
2810408A11Rik,0,0,0,0,0,0,1,0
Ndufb3,0,0,0,0,1,0,0,0
Psip1,0,1,0,0,0,0,1,0
Relt,0,0,0,0,0,0,1,0
Psmb8,0,1,0,0,0,0,1,0
Ptprb,0,0,0,0,0,0,1,0
Pspc1,0,1,0,0,0,0,1,0
Tcn2,0,0,0,0,0,0,1,0
Ptch1,0,1,0,0,0,0,1,0
Pten,0,1,0,0,0,0,1,0
Nme2,0,0,0,0,0,0,1,0
Ptpn22,0,1,0,0,0,0,0,0
Sat1,0,0,0,0,0,0,1,0
Pum2,0,1,0,0,0,0,0,0
Pura,0,1,0,0,0,0,0,0
Slc29a2,0,0,0,0,0,0,1,0
Pxk,0,1,0,0,0,0,0,0
Map6,0,0,0,0,0,0,1,0
Pycard,0,1,0,0,0,0,0,0
Chchd1,0,0,0,0,0,0,1,0
Rab14,0,1,0,0,0,0,0,0
Nradd,0,0,0,0,0,0,1,0
Rab32,0,1,0,0,1,0,1,0
Rab8b,0,1,0,0,1,0,0,0
Ceacam2,0,0,0,0,0,0,1,0
Ralgps2,0,1,0,0,1,0,0,0
Lmo7,0,0,0,0,0,1,1,0
Ranbp2,0,1,0,0,0,0,0,0
Neat1,0,0,0,0,1,0,0,0
Agtr1a,0,0,0,0,1,0,1,0
Rapgef6,0,1,0,0,0,0,0,0
Nedd4,0,0,0,0,1,0,1,0
Pmpcb,0,0,0,0,1,0,1,0
Rasa2,0,1,0,0,0,0,1,0
Rasgrp1,0,1,0,0,0,0,0,0
Negr1,0,0,0,0,1,0,0,0
Rassf5,0,1,0,0,0,0,0,0
Neil1,0,0,0,0,1,0,0,0
Nepn,0,0,0,0,1,1,0,0
Stx3,0,0,0,0,0,0,1,0
Rbbp6,0,1,0,0,0,0,0,0
Nes,0,0,0,0,1,0,0,0
Rbl1,0,1,0,0,0,0,1,0
Neurl4,0,0,0,0,1,0,0,0
Rbm10,0,1,0,0,0,0,0,0
Nf2,0,0,0,0,1,0,0,0
Car8,0,0,0,0,1,0,1,0
Rbm12,0,1,0,0,0,0,0,0
Nfe2l1,0,0,0,0,1,0,0,0
Mrvi1,0,0,0,0,0,0,1,0
Rbm12b2,0,1,0,0,0,0,1,0
Rbm25,0,1,0,0,0,0,0,0
Ngfrap1,0,0,0,0,1,0,0,0
Flad1,0,0,0,0,0,0,1,0
Rbm26,0,1,0,0,0,0,0,0
Tmem63b,0,0,0,0,0,0,1,0
Rbm39,0,1,0,0,0,0,0,0
Nkain1,0,0,0,0,1,0,0,0
Tank,0,0,0,0,0,0,1,0
Rbms3,0,1,0,0,0,0,1,0
Nmt2,0,0,0,0,1,0,1,0
Rbmx,0,1,0,0,0,0,0,0
Noa1,0,0,0,0,1,0,0,0
Egfl7,0,0,0,0,0,0,1,0
Rbpj,0,1,0,0,0,0,0,0
Cux1,0,0,0,0,0,0,1,0
Cyp2r1,0,0,0,0,1,0,1,0
Rcn2,0,1,0,0,1,0,1,0
Nomo1,0,0,0,0,1,0,0,0
Reck,0,1,0,0,0,0,0,0
Nos3,0,0,0,0,1,0,0,0
Rel,0,1,0,0,0,0,0,0
Notch3,0,0,0,0,1,0,1,0
Reps2,0,1,0,0,1,0,0,0
Nova1,0,0,0,0,1,0,0,0
Epb42,0,0,0,0,0,0,1,0
Rev3l,0,1,0,0,0,0,0,0
Npc2,0,0,0,0,1,0,1,0
Rftn1,0,1,0,0,1,0,0,0
Npepps,0,0,0,0,1,0,0,0
Rfx7,0,1,0,0,0,0,0,0
Pigq,0,0,0,0,1,0,1,0
Rgs19,0,1,0,0,0,0,0,0
Nptn,0,0,0,0,1,0,0,0
Plxna2,0,0,0,0,1,0,1,0
Rgs7bp,0,1,0,0,0,0,1,0
Psmc3ip,0,0,0,0,0,0,1,0
Ric8,0,1,0,0,0,0,0,0
Rictor,0,1,0,0,0,0,0,0
Rif1,0,1,0,0,0,0,1,0
Nr4a3,0,0,0,0,1,0,0,0
Klrg2,0,0,0,0,0,0,1,0
Riok1,0,1,0,0,0,0,0,0
Rlim,0,1,0,0,0,0,0,0
Tmem150a,0,0,0,0,1,0,1,0
Rnasel,0,1,0,0,0,0,1,0
Nsun3,0,0,0,0,1,0,1,0
Srpk3,0,0,0,0,0,0,1,0
Rnf19a,0,1,0,0,0,0,0,0
Ntan1,0,0,0,0,1,0,0,0
Ubac1,0,0,0,0,1,0,1,0
Rnpc3,0,1,0,0,0,0,0,0
Rp2,0,1,0,0,0,0,0,0
Rpl12,0,1,0,0,0,0,0,0
Rpl13a,0,1,0,0,1,0,0,0
Nudt18,0,0,0,0,1,0,0,0
Pgap2,0,0,0,0,0,0,1,0
Rpl22,0,1,0,0,0,0,1,0
Nudt3,0,0,0,0,1,0,0,0
Rps13,0,1,0,0,0,0,0,0
Nup188,0,0,0,0,1,0,0,0
Ighm,0,0,0,0,0,0,1,0
Rps13-ps1,0,1,0,0,0,0,0,0
Nup205,0,0,0,0,1,0,0,0
Rps21,0,1,0,0,0,0,1,0
Nupl2,0,0,0,0,1,0,0,0
Lin37,0,0,0,0,0,0,1,0
Nupr1,0,0,0,0,1,0,1,0
Nutf2,0,0,0,0,1,0,0,0
Ska3,0,0,0,0,0,0,1,0
Nxf1,0,0,0,0,1,0,0,0
Rps7,0,1,0,0,0,0,0,0
Als2cl,0,0,0,0,0,0,1,0
Rrs1,0,1,0,0,0,0,1,0
Yars2,0,0,0,0,0,0,1,0
Rsbn1,0,1,0,0,0,0,0,0
Rsl1,0,1,0,0,0,0,0,0
Oaz2-ps,0,0,0,0,1,0,0,0
Phyh,0,0,0,0,0,0,1,0
Ociad1,0,0,0,0,1,0,0,0
Ppp1cb,0,0,0,0,1,0,1,0
Rybp,0,1,0,0,1,0,1,0
Axdnd1,0,0,0,0,0,0,1,0
S100a4,0,1,0,0,0,0,0,0
Mrpl38,0,0,0,0,0,0,1,0
S100a9,0,1,0,0,0,0,0,0
Flcn,0,0,0,0,0,0,1,0
S100pbp,0,1,0,0,0,0,0,0
Olfr205,0,0,0,0,1,0,0,0
Mcu,0,0,0,0,0,0,1,0
Samd9l,0,1,0,0,0,0,1,0
Samhd1,0,1,0,0,0,0,0,0
Ophn1,0,0,0,0,1,0,0,0
Samsn1,0,1,0,0,0,0,0,0
Orc2,0,0,0,0,1,0,0,0
Snx10,0,0,0,0,1,0,1,0
Satb1,0,1,0,0,0,0,0,0
Orc3,0,0,0,0,1,0,0,0
Rbks,0,0,0,0,0,0,1,0
Osbpl11,0,0,0,0,1,0,0,0
Tspan13,0,0,0,0,1,0,1,0
Scn7a,0,1,0,0,1,0,1,0
Osbpl5,0,0,0,0,1,0,0,0
Fam96b,0,0,0,0,0,0,1,0
Osgep,0,0,0,0,1,0,0,0
Selplg,0,1,0,0,0,0,0,0
Osgin2,0,0,0,0,1,0,0,0
Nudt14,0,0,0,0,0,0,1,0
Sema4d,0,1,0,0,0,0,0,0
Senp7,0,1,0,0,0,0,0,0
Serbp1,0,1,0,0,0,0,0,0
Serinc5,0,1,0,0,1,0,1,0
Oxct1,0,0,0,0,1,0,0,0
Edf1,0,0,0,0,0,0,1,0
Serpina3c,0,1,0,0,1,0,1,0
Gm10309,0,0,0,0,0,0,1,0
Serpinb1a,0,1,0,0,0,0,0,0
Ppp5c,0,0,0,0,1,0,1,0
Serpinb6b,0,1,0,0,0,0,0,0
P2rx6,0,0,0,0,1,0,1,0
Serpinb9,0,1,0,0,0,0,1,0
P4ha1,0,0,0,0,1,0,0,0
Lrrn3,0,0,0,0,0,1,1,0
Sesn1,0,1,0,0,0,0,1,0
Pabpc4,0,0,0,0,1,0,0,0
Rpl28-ps1,0,0,0,0,0,0,1,0
Pacs1,0,0,0,0,1,0,0,0
Pakap,0,0,0,0,1,0,0,0
Efna1,0,0,0,0,0,0,1,0
Sf3b1,0,1,0,0,0,0,0,0
Ybx2,0,0,0,0,1,0,1,0
Amacr,0,0,0,0,1,0,1,0
Sgpp1,0,1,0,0,1,0,1,0
Palm2,0,0,0,0,1,0,1,0
Eif1ad,0,0,0,0,0,0,1,0
Palmd,0,0,0,0,1,0,0,0
Commd3,0,0,0,0,0,0,1,0
Sh3d19,0,1,0,0,1,0,1,0
Ccdc125,0,0,0,0,0,0,1,0
Sirt1,0,1,0,0,0,0,1,0
Papss1,0,0,0,0,1,0,1,0
Slc1a3,0,1,0,0,1,0,1,0
Parp6,0,0,0,0,1,0,1,0
Dpy19l1,0,0,0,0,0,0,1,0
Pccb,0,0,0,0,1,0,0,0
Gng11,0,0,0,0,0,0,1,0
Slc25a24,0,1,0,0,0,0,1,0
Pcdh19,0,0,0,0,1,0,0,0
Naalad2,0,0,0,0,0,0,1,0
Slc28a2,0,1,0,0,1,0,0,0
Pcdhga10,0,0,0,0,1,0,0,0
Ccna2,0,0,0,0,0,0,1,0
Slc2a3,0,1,0,0,0,0,1,0
Slc38a1,0,1,0,0,0,0,0,0
Pdcl3,0,0,0,0,1,0,0,0
Mrgbp,0,0,0,0,0,0,1,0
Slc39a10,0,1,0,0,0,0,0,0
Pde1a,0,0,0,0,1,0,0,0
Slc39a6,0,1,0,0,0,0,1,0
Slc44a2,0,1,0,0,1,0,0,0
Gabpa,0,0,0,0,0,0,1,0
Pde3b,0,0,0,0,1,0,0,0
Fam46c,0,0,0,0,0,0,1,0
Gimap6,0,0,0,0,0,0,1,0
Pde6d,0,0,0,0,1,0,0,0
Slfn8,0,1,0,0,0,0,1,0
Hspa8,0,0,0,0,1,0,1,0
Smarcc1,0,1,0,0,0,0,0,0
Pdgfb,0,0,0,0,1,0,1,0
Gm14327,0,0,0,0,0,0,1,0
Smc3,0,1,0,0,0,0,0,0
Smc4,0,1,0,0,0,0,0,0
Pdgfra,0,0,0,0,1,0,0,0
Pdgfrb,0,0,0,0,1,0,1,0
Mrpl21,0,0,0,0,0,0,1,0
Smc5,0,1,0,0,0,0,1,0
Smchd1,0,1,0,0,0,0,0,0
Sms,0,1,0,0,0,0,0,0
Lamtor1,0,0,0,0,0,0,1,0
Snhg1,0,1,0,0,0,0,0,0
Snhg11,0,1,0,0,0,0,0,0
Pdlim3,0,0,0,0,1,0,0,0
Rab20,0,0,0,0,0,0,1,0
Snhg5,0,1,0,0,1,0,0,0
Pdpr,0,0,0,0,1,0,1,0
Snhg8,0,1,0,0,0,0,0,0
Pdrg1,0,0,0,0,1,0,0,0
Tmem94,0,0,0,0,1,0,1,0
Snord47,0,1,0,0,1,0,0,0
Snrpa1,0,1,0,0,0,0,0,0
Pdzd2,0,0,0,0,1,0,1,0
Kxd1,0,0,0,0,0,0,1,0
C1rl,0,0,0,0,1,0,1,0
Snrpg,0,1,0,0,0,0,0,0
Peg13,0,0,0,0,1,0,0,0
Snx5,0,1,0,0,0,0,0,0
Peg3,0,0,0,0,1,1,1,0
Gm3837,0,0,0,0,0,0,1,0
Snx6,0,1,0,0,1,0,0,0
Fgd4,0,0,0,0,0,0,1,0
Socs3,0,1,0,0,0,0,1,0
Pet100,0,0,0,0,1,0,1,0
Atp8b5,0,0,0,0,0,0,1,0
Ppp1r16b,0,0,0,0,0,0,1,0
Spcs3,0,1,0,0,1,0,1,0
Pf4,0,0,0,0,1,0,0,0
Spred1,0,1,0,0,0,0,0,0
Spty2d1,0,1,0,0,0,0,1,0
Psmb3,0,0,0,0,0,0,1,0
Srpk2,0,1,0,0,0,0,1,0
Srsf1,0,1,0,0,0,0,0,0
AW011738,0,0,0,0,0,0,1,0
Srsf3,0,1,0,0,0,0,0,0
Mall,0,0,0,0,0,0,1,0
Rgs9bp,0,0,0,0,0,0,1,0
Sqle,0,0,0,0,1,0,1,0
Srsf7,0,1,0,0,0,0,1,0
Phc1,0,0,0,0,1,0,0,0
Phf20,0,0,0,0,1,0,0,0
Ssb,0,1,0,0,0,0,0,0
Phka2,0,0,0,0,1,0,0,0
Phkb,0,0,0,0,1,0,0,0
Phkg1,0,0,0,0,1,0,1,0
Stap1,0,1,0,0,0,0,0,0
Phlda3,0,0,0,0,1,0,0,0
Gm6505,0,0,0,0,0,0,1,0
Stk17b,0,1,0,0,0,0,0,0
Crip2,0,0,0,0,0,0,1,0
Phxr4,0,0,0,0,1,0,0,0
Stk26,0,1,0,0,0,0,0,0
Pi4ka,0,0,0,0,1,0,0,0
Cyp27a1,0,0,0,0,1,0,1,0
Stk4,0,1,0,0,0,0,0,0
Piezo1,0,0,0,0,1,0,0,0
Stxbp3,0,1,0,0,0,0,1,0
Pigf,0,0,0,0,1,0,0,0
Fastkd5,0,0,0,0,0,0,1,0
Tc2n,0,0,0,0,0,0,1,0
Styx,0,1,0,0,0,0,0,0
Pik3ip1,0,0,0,0,1,0,0,0
Suco,0,1,0,0,0,0,1,0
Pik3r3,0,0,0,0,1,0,0,0
2610305D13Rik,0,0,0,0,0,0,1,0
Pink1,0,0,0,0,1,0,0,0
Sumf1,0,1,0,0,0,0,0,0
Pitrm1,0,0,0,0,1,0,0,0
Macf1,0,0,0,0,0,0,1,0
Supt20,0,1,0,0,0,0,0,0
Pja2,0,0,0,0,1,0,0,0
Timm50,0,0,0,0,1,0,1,0
Taf1,0,1,0,0,0,0,0,0
Pkd2l2,0,0,0,0,1,0,1,0
Slc25a32,0,0,0,0,0,0,1,0
Taf4a,0,1,0,0,0,0,0,0
Taok3,0,1,0,0,1,0,0,0
Tap1,0,1,0,0,0,0,1,0
Ssr4,0,0,0,0,0,0,1,0
Tardbp,0,1,0,0,0,0,0,0
Pla2g16,0,0,0,0,1,0,1,0
Rnf32,0,0,0,0,0,0,1,0
Tbk1,0,1,0,0,0,0,0,0
Plau,0,0,0,0,1,0,0,0
Gm13225,0,0,0,0,0,0,1,0
Tcf7,0,1,0,0,0,0,0,0
Psme4,0,0,0,0,0,0,1,0
Plcb3,0,0,0,0,1,0,0,0
C1qtnf4,0,0,0,0,0,0,1,0
Tgfbi,0,1,0,0,0,0,0,0
Plcb4,0,0,0,0,1,0,1,0
Gm10094,0,0,0,0,0,0,1,0
Plcd1,0,0,0,0,1,0,0,0
Kif26a,0,0,0,0,0,0,1,0
Tgs1,0,1,0,0,0,0,1,0
Plekhb2,0,0,0,0,1,0,0,0
Nubp1,0,0,0,0,0,0,1,0
Themis2,0,1,0,0,0,0,0,0
Plgrkt,0,0,0,0,1,0,0,0
Mrps5,0,0,0,0,0,0,1,0
Thoc1,0,1,0,0,0,0,0,0
Plin1,0,0,0,0,1,0,0,0
Timd4,0,1,0,0,1,0,0,0
Mcf2l,0,0,0,0,0,0,1,0
Plin4,0,0,0,0,1,0,1,0
Tmc8,0,0,0,0,0,0,1,0
Tlr4,0,1,0,0,0,0,1,0
Gm17825,0,0,0,0,0,0,1,0
Tm2d2,0,1,0,0,0,0,0,0
Plk4,0,0,0,0,1,0,0,0
Tm7sf3,0,1,0,0,1,0,1,0
Plod2,0,0,0,0,1,0,1,0
Tm9sf2,0,1,0,0,0,0,0,0
Plp1,0,0,0,0,1,0,0,0
Rpl23a,0,0,0,0,0,0,1,0
Tmcc3,0,1,0,0,0,0,0,0
Plp2,0,0,0,0,1,0,0,0
Tmem168,0,1,0,0,0,0,0,0
Plpp6,0,0,0,0,1,0,0,0
Tpt1-ps3,0,0,0,0,0,0,1,0
Tmem173,0,1,0,0,0,0,1,0
Plxdc2,0,0,0,0,1,0,1,0
Picalm,0,0,0,0,0,0,1,0
Tmem176a,0,1,0,0,1,0,1,0
Plxna1,0,0,0,0,1,0,1,0
Gm9803,0,0,0,0,0,0,1,0
Tmem71,0,1,0,0,0,0,0,0
Tmco4,0,0,0,0,0,0,1,0
Tmpo,0,1,0,0,0,0,1,0
Plxnd1,0,0,0,0,1,0,1,0
Tmx3,0,1,0,0,1,0,0,0
Nudt6,0,0,0,0,0,0,1,0
Tnfaip3,0,1,0,0,0,0,1,0
Pmp22,0,0,0,0,1,0,0,0
Tnfrsf13b,0,1,0,0,0,0,0,0
Lactb,0,0,0,0,0,0,1,0
Tnfrsf13c,0,1,0,0,0,0,0,0
Zfp385a,0,0,0,0,0,0,1,0
Tnpo3,0,1,0,0,0,0,0,0
Mrpl22,0,0,0,0,0,0,1,0
Tnrc6a,0,1,0,0,0,0,0,0
Tra2a,0,1,0,0,0,0,0,0
Pnpla3,0,0,0,0,1,0,1,0
Dnajb9,0,0,0,0,0,0,1,0
Traj18,0,1,0,0,0,0,0,0
Chaf1b,0,0,0,0,0,0,1,0
Traj19,0,1,0,0,0,0,0,0
Pofut2,0,0,0,0,1,0,0,0
Trib1,0,0,0,0,0,0,1,0
Trbc2,0,1,0,0,0,0,0,0
Pogk,0,0,0,0,1,0,0,0
Trim12a,0,1,0,0,0,0,1,0
Trim12c,0,1,0,0,0,0,1,0
Trim21,0,1,0,0,0,0,1,0
Polr2d,0,0,0,0,1,0,0,0
Abcb7,0,0,0,0,0,0,1,0
Trim25,0,1,0,0,1,0,1,0
Polr2g,0,0,0,0,1,0,0,0
Trim27,0,1,0,0,0,0,0,0
Polr2m,0,0,0,0,1,0,0,0
Lrrc32,0,0,0,0,0,0,1,0
Trim30a,0,1,0,0,0,0,1,0
Pomgnt1,0,0,0,0,1,0,1,0
Gcnt7,0,0,0,0,0,0,1,0
Popdc2,0,0,0,0,1,0,0,0
Trim30d,0,1,0,0,1,0,1,0
Porcn,0,0,0,0,1,0,0,0
Ankrd52,0,0,0,0,0,0,1,0
Ruvbl2,0,0,0,0,1,0,1,0
Trim34a,0,1,0,0,0,0,1,0
Pparg,0,0,0,0,1,0,0,0
Trim59,0,1,0,0,0,0,0,0
Dyrk1b,0,0,0,0,0,0,1,0
Trip11,0,1,0,0,0,0,0,0
Ppic,0,0,0,0,1,0,0,0
Gm5113,0,0,0,0,0,0,1,0
Trove2,0,1,0,0,0,0,1,0
Ppip5k1,0,0,0,0,1,0,1,0
Slc12a2,0,0,0,0,1,0,1,0
Trp53bp1,0,1,0,0,0,0,0,0
Ppm1d,0,0,0,0,1,0,0,0
Bet1,0,0,0,0,0,0,1,0
Tspan32,0,1,0,0,0,0,0,0
Ppm1m,0,0,0,0,1,0,0,0
Tspyl3,0,1,0,0,0,0,0,0
Ppp1ca,0,0,0,0,1,0,0,0
Apba3,0,0,0,0,0,0,1,0
Tsr1,0,1,0,0,0,0,0,0
Sema4a,0,0,0,0,1,0,1,0
Ttc3,0,1,0,0,0,0,1,0
Ppp1r14b,0,0,0,0,1,0,0,0
Rpl10a-ps1,0,0,0,0,0,0,1,0
Tubb2a,0,1,0,0,0,0,0,0
Ppp1r2,0,0,0,0,1,0,0,0
Zfp366,0,0,0,0,1,0,1,0
Tusc5,0,1,0,0,1,0,0,0
Cenpn,0,0,0,0,0,0,1,0
Twf2,0,1,0,0,0,0,0,0
Ube2d3,0,1,0,0,0,0,0,0
Ppp1r9b,0,0,0,0,1,0,1,0
Hspa1l,0,0,0,0,0,0,1,0
Ube3a,0,1,0,0,0,0,0,0
Ugcg,0,1,0,0,0,0,1,0
Ppp2r1b,0,0,0,0,1,0,1,0
Upf3b,0,1,0,0,0,0,0,0
Ppp2r2a,0,0,0,0,1,0,0,0
Mlph,0,0,0,0,0,0,1,0
Usp1,0,1,0,0,0,0,0,0
Ppp2r4,0,0,0,0,1,0,0,0
Dnajc28,0,0,0,0,0,0,1,0
Usp18,0,1,0,0,0,0,1,0
Ppp2r5a,0,0,0,0,1,0,1,0
Ccdc151,0,0,0,0,0,0,1,0
Vasn,0,1,0,0,0,0,1,0
C1qbp,0,0,0,0,0,0,1,0
Vbp1,0,1,0,0,0,0,0,0
Ppp2r5d,0,0,0,0,1,0,0,0
Mrps24,0,0,0,0,0,0,1,0
Ppp3cb,0,0,0,0,1,0,0,0
Gm4045,0,0,0,0,0,0,1,0
Wac,0,1,0,0,0,0,0,0
Wapl,0,1,0,0,0,0,0,0
Pqlc3,0,0,0,0,1,0,0,0
Gm12276,0,0,0,0,0,0,1,0
Was,0,1,0,0,0,0,0,0
Tomm5,0,0,0,0,1,0,1,0
Wdr43,0,1,0,0,0,0,0,0
Prdm16,0,0,0,0,1,0,0,0
Trappc8,0,0,0,0,0,0,1,0
Wdr44,0,1,0,0,0,0,1,0
Prdm9,0,0,0,0,1,0,0,0
Wipf1,0,1,0,0,0,0,0,0
Prdx2,0,0,0,0,1,0,0,0
Prmt7,0,0,0,0,0,0,1,0
Wrnip1,0,1,0,0,0,0,1,0
Prelp,0,0,0,0,1,1,0,0
Ptbp2,0,0,0,0,1,0,1,0
Wsb1,0,1,0,0,0,0,0,0
Slc30a9,0,0,0,0,0,0,1,0
Xlr4a,0,1,0,0,0,0,0,0
Prickle3,0,0,0,0,1,0,0,0
Xlr4b,0,1,0,0,0,0,0,0
Prkaa1,0,0,0,0,1,0,0,0
Xlr4c,0,1,0,0,0,0,0,0
Rcl1,0,0,0,0,1,0,1,0
Ythdc1,0,1,0,0,0,0,0,0
Prkag1,0,0,0,0,1,0,0,0
Yy1,0,1,0,0,0,0,0,0
Zc3hav1,0,1,0,0,0,0,1,0
Prkce,0,0,0,0,1,0,1,0
Chst2,0,0,0,0,0,0,1,0
Zcchc11,0,1,0,0,0,0,0,0
Prkcg,0,0,0,0,1,0,0,0
Tpd52,0,0,0,0,0,0,1,0
Zcchc7,0,1,0,0,0,0,0,0
Prkch,0,0,0,0,1,0,0,0
Dock5,0,0,0,0,0,0,1,0
Zdhhc20,0,1,0,0,0,0,0,0
Prkci,0,0,0,0,1,0,0,0
Kmt5a,0,0,0,0,0,0,1,0
Prkd1,0,0,0,0,1,0,0,0
Zfhx4,0,1,0,0,0,0,0,0
Prkd2,0,0,0,0,1,0,0,0
Zfp110,0,1,0,0,0,0,1,0
Prkg1,0,0,0,0,1,0,0,0
Zfp160,0,1,0,0,0,0,0,0
Prkx,0,0,0,0,1,0,0,0
Zfp185,0,1,0,0,1,0,1,0
Prmt1,0,0,0,0,1,0,0,0
Tmem186,0,0,0,0,0,0,1,0
Zfp207,0,1,0,0,0,0,0,0
Prmt5,0,0,0,0,1,0,0,0
Adk,0,0,0,0,1,0,1,0
Zfp26,0,1,0,0,0,0,1,0
Prn,0,0,0,0,1,0,0,0
Zfp260,0,1,0,0,0,0,0,0
Prnp,0,0,0,0,1,0,1,0
Rhoj,0,0,0,0,1,0,1,0
Zfp263,0,1,0,0,0,0,0,0
Proca1,0,0,0,0,1,0,0,0
Slc16a2,0,0,0,0,1,0,1,0
Slc25a46,0,0,0,0,0,0,1,0
Zfp266,0,1,0,0,0,0,0,0
Nt5m,0,0,0,0,0,0,1,0
Zfp281,0,1,0,0,1,0,0,0
Prune,0,0,0,0,1,0,0,0
Golm1,0,0,0,0,0,0,1,0
Mppe1,0,0,0,0,0,0,1,0
Zfp472,0,1,0,0,0,0,1,0
Psap,0,0,0,0,1,0,0,0
Pptc7,0,0,0,0,0,0,1,0
Zfp503,0,1,0,0,0,0,1,0
BC029214,0,0,0,0,0,0,1,0
Zfp53,0,1,0,0,0,0,0,0
Pcdh12,0,0,0,0,0,0,1,0
Zfp62,0,1,0,0,0,0,0,0
Pstk,0,0,0,0,1,0,1,0
Rbbp8,0,0,0,0,0,0,1,0
Zfp622,0,1,0,0,0,0,1,0
Ptar1,0,0,0,0,1,0,1,0
Pno1,0,0,0,0,0,0,1,0
Zfp638,0,1,0,0,0,0,0,0
Zfp644,0,1,0,0,0,0,0,0
Otud6b,0,0,0,0,0,0,1,0
Zfp65,0,1,0,0,0,0,0,0
Ptpn18,0,0,0,0,0,0,1,0
Zfp715,0,1,0,0,0,0,0,0
Mrps16,0,0,0,0,0,0,1,0
Zfp738,0,1,0,0,0,0,0,0
Hagh,0,0,0,0,1,0,1,0
Zfp869,0,1,0,0,0,0,0,0
Ptrh2,0,0,0,0,0,0,1,0
Zfp871,0,1,0,0,0,0,1,0
Ptger4,0,0,0,0,1,0,0,0
Ntn1,0,0,0,0,0,0,1,0
Zfp932,0,1,0,0,0,0,0,0
Zfp955a,0,1,0,0,0,0,0,0
Ptges3l,0,0,0,0,1,0,1,0
Mtx3,0,0,0,0,0,0,1,0
Zmym5,0,1,0,0,0,0,0,0
Tom1l1,0,0,0,0,0,0,1,0
Zzz3,0,1,0,0,0,0,0,0
Ptp4a1,0,0,0,0,1,0,0,0
Lamtor3,0,0,0,0,0,0,1,0
1700003E16Rik,0,0,0,0,0,0,1,0
Thoc6,0,0,0,0,0,0,1,0
Ptpn11,0,0,0,0,1,0,0,0
Mark3,0,0,0,0,0,0,1,0
Ptpn14,0,0,0,0,1,0,1,0
Ptpn4,0,0,0,0,1,0,0,0
Ptprm,0,0,0,0,1,0,0,0
Gm14494,0,0,0,0,0,0,1,0
Ptrf,0,0,0,0,1,0,1,0
Rab5c,0,0,0,0,0,0,1,0
Pts,0,0,0,0,1,0,1,0
Syt15,0,0,0,0,0,0,1,0
Purb,0,0,0,0,1,0,0,0
Mrps10,0,0,0,0,0,0,1,0
Pvalb,0,0,0,0,1,0,0,0
Pxdn,0,0,0,0,1,0,1,0
Zpbp,0,0,0,0,0,0,1,0
Pygb,0,0,0,0,1,0,1,0
Pygm,0,0,0,0,1,0,0,0
Rhot1,0,0,0,0,0,0,1,0
Pygo1,0,0,0,0,1,0,1,0
Hpgds,0,0,0,0,0,0,1,0
Sdhaf4,0,0,0,0,0,0,1,0
R3hdm1,0,0,0,0,1,0,1,0
Rab11b,0,0,0,0,1,0,0,0
Pde12,0,0,0,0,0,0,1,0
Rab11fip5,0,0,0,0,1,0,1,0
Tbc1d1,0,0,0,0,0,0,1,0
Rab12,0,0,0,0,1,0,1,0
Gcsh,0,0,0,0,0,0,1,0
Rab26,0,0,0,0,1,0,0,0
Rab34,0,0,0,0,1,0,0,0
Mif,0,0,0,0,0,0,1,0
Pmpca,0,0,0,0,0,0,1,0
Rab3gap2,0,0,0,0,1,0,1,0
Thg1l,0,0,0,0,1,0,1,0
Midn,0,0,0,0,0,0,1,0
Pisd,0,0,0,0,0,0,1,0
Rabif,0,0,0,0,1,0,1,0
Urod,0,0,0,0,0,0,1,0
Rad9b,0,0,0,0,1,0,0,0
Rala,0,0,0,0,1,0,0,0
Tsc2,0,0,0,0,1,0,1,0
Ralb,0,0,0,0,1,0,0,0
Ralgapa1,0,0,0,0,1,0,0,0
Hspd1-ps3,0,0,0,0,0,1,1,0
Ralgapb,0,0,0,0,1,0,1,0
Rnf125,0,0,0,0,1,0,1,0
Rap1gds1,0,0,0,0,1,0,1,0
Rnf24,0,0,0,0,1,0,1,0
Cadm4,0,0,0,0,0,0,1,0
Vdac2,0,0,0,0,1,0,1,0
Rasgrf2,0,0,0,0,1,0,1,0
Ncaph,0,0,0,0,0,0,1,0
Rasip1,0,0,0,0,1,0,0,0
Fxyd1,0,0,0,0,0,0,1,0
Rasl12,0,0,0,0,1,0,1,0
Rassf2,0,0,0,0,1,0,0,0
Rb1,0,0,0,0,1,0,0,0
Ddx41,0,0,0,0,0,0,1,0
Rbfox1,0,0,0,0,1,0,0,0
Notch4,0,0,0,0,0,0,1,0
Rbms2,0,0,0,0,1,0,0,0
