GeneSymbol,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
Slc15a5,0,0,0,0,0,1,0,0
Sorcs2,0,0,0,0,1,0,1,0
Atp2a1,1,0,0,0,0,1,0,0
Add1,0,1,0,0,1,0,0,0
Angptl3,0,0,0,1,0,0,0,0
5031426D15Rik,0,0,0,0,1,0,0,0
Poln,0,1,0,1,1,1,1,0
Tnnt3,0,0,0,0,1,1,0,0
Gm38356,0,0,0,0,0,0,1,0
Atxn2,1,0,0,0,0,0,1,0
Clybl,0,1,1,0,1,1,1,0
5730508B09Rik,0,0,0,0,1,0,0,0
S100a3,0,0,0,0,0,1,0,0
Mmd2,0,0,0,0,0,0,1,0
Cpt2,0,1,1,0,1,1,1,1
Coa5,0,1,1,0,1,0,1,0
Apoc1,0,0,0,1,0,1,1,0
Gk,1,1,1,1,0,1,1,1
Cxadr,0,1,1,0,0,1,1,1
Bag3,1,0,0,0,0,0,0,0
5930403L14Rik,0,0,0,0,1,0,0,0
Rpl39l,0,0,0,0,0,1,0,0
Gys2,1,1,1,1,0,1,1,1
Cyc1,1,1,0,0,1,1,1,1
Bcl2l13,1,0,0,0,1,0,1,0
Aes,0,1,0,0,0,0,1,0
Col27a1,0,0,1,0,0,0,1,0
8430415O14Rik,0,0,0,0,1,0,0,0
Hist1h4h,0,1,0,0,0,1,1,0
Atp1b1,0,0,0,0,0,0,1,0
Cycs,0,1,1,1,1,1,1,1
Bcl3,1,0,0,0,0,0,1,0
Apoc4-apoc2,0,0,0,1,0,0,0,0
9130011E15Rik,0,0,0,0,1,0,0,0
Retsat,0,1,1,1,0,1,1,1
Gm20431,0,0,0,0,0,0,1,0
Bri3bp,1,0,0,0,0,0,1,0
Coq6,0,1,1,0,1,1,1,0
Gm15429,0,0,0,0,0,0,1,0
Cyp1a1,1,0,0,0,1,0,0,1
C030006K11Rik,1,1,0,0,1,0,0,0
Coq9,0,1,1,0,1,1,1,0
Aqp11,0,0,0,1,0,0,0,0
9330133O14Rik,0,0,0,0,1,0,0,0
Cox15,1,0,1,0,0,0,1,0
9330159F19Rik,0,0,0,0,1,0,0,0
Hoxa4,0,0,0,0,0,1,1,0
Cyp2j8,0,0,0,0,0,0,0,1
Car2,1,0,0,0,1,0,1,0
Agpat3,0,1,0,0,1,1,1,0
9330159M07Rik,0,0,0,0,1,0,0,0
Pde6a,0,0,0,0,0,1,0,0
Cyp2u1,1,1,1,1,0,0,1,1
Cdip1,1,0,0,0,0,0,0,0
Aqp7,0,1,0,1,1,0,1,0
9430020K01Rik,0,0,0,0,1,0,0,0
Hephl1,0,1,0,0,0,1,1,1
RP23-218K15.5,0,0,0,0,0,0,1,0
Dhrs7,1,1,1,0,1,1,1,1
Cebpb,1,1,0,1,0,1,1,0
Arl4a,0,0,0,1,1,0,0,0
9430037G07Rik,0,0,0,0,1,0,0,0
Tfr2,0,1,0,0,0,1,1,0
Gm13509,0,0,0,0,0,0,1,0
9530091C08Rik,0,0,0,0,1,0,0,0
Pla2g7,0,1,0,0,1,0,1,0
9930111J21Rik2,0,0,0,0,1,0,0,0
Gnao1,1,0,0,1,1,1,1,1
Tmem171,0,0,0,0,0,0,1,0
Dlat,1,1,1,1,1,1,1,1
Crls1,0,1,1,0,1,0,1,0
AW111846,0,0,0,1,0,0,0,0
A230065N10Rik,0,0,0,0,1,0,0,0
Hebp2,0,1,1,1,1,0,1,0
Dlst,1,1,0,0,1,1,1,1
Ciart,1,0,0,0,0,0,0,0
Ak3,0,1,0,0,0,1,1,0
Cryz,0,1,1,0,0,0,1,0
B430105A11Rik,0,0,0,1,0,0,0,0
A430046D13Rik,0,0,0,0,1,0,0,0
Rap1gap,1,0,0,0,0,1,1,0
Dusp18,1,0,0,0,1,0,1,1
Cs,1,1,1,0,1,1,1,0
BC028777,0,0,0,1,0,0,0,0
A530016L24Rik,0,0,0,0,1,0,0,0
Aifm3,0,0,0,0,0,1,0,0
St3gal5,1,0,0,0,0,0,1,0
E330011O21Rik,0,0,0,0,1,0,0,1
Akap1,0,1,0,0,1,0,1,0
BC049762,0,0,0,1,0,0,0,0
Echdc1,0,0,0,0,1,1,1,1
Cluh,1,0,0,0,1,0,1,0
Akt1,0,1,0,0,0,0,0,0
Bckdha,0,1,0,1,0,0,1,0
Myh7b,0,0,0,0,0,1,1,0
Npnt,0,0,0,0,0,1,1,0
Egln3,0,0,0,0,0,0,1,1
Cmc2,1,0,0,0,1,0,1,0
Akt2,0,1,0,0,1,0,0,0
BE949265,0,0,0,1,0,0,0,0
Hist1h3e,0,0,0,0,0,1,0,0
Esrrg,1,0,0,1,1,1,1,0
Cntfr,1,0,0,0,0,0,1,0
Aldoa,0,1,0,0,1,1,1,0
Aak1,0,0,0,0,1,0,0,0
Gm28438,0,0,0,0,0,1,0,0
Gck,0,0,0,0,0,0,1,0
Elovl6,0,1,1,0,1,0,1,1
Cyp4v3,0,0,1,0,0,0,0,0
Btnl9,0,0,0,1,1,0,1,0
Aamdc,0,0,0,0,1,0,0,0
Mup3,0,0,0,1,0,1,1,0
Gm12537,0,0,0,0,0,0,1,0
Etfdh,1,1,1,1,1,1,1,1
Comtd1,1,0,0,0,1,1,1,0
D10Jhu81e,0,0,1,0,1,0,1,0
C8g,0,0,0,1,0,0,0,0
Abca2,0,0,0,0,1,0,0,0
Mogat2,0,0,0,0,0,1,1,0
Fabp3-ps1,1,0,0,0,1,0,0,1
Anapc5,0,1,0,0,1,0,0,0
Ddhd2,0,0,1,0,1,0,1,0
Calr3,0,0,0,1,0,0,0,0
Abca7,0,0,0,0,1,0,1,0
Map7d2,0,0,0,0,0,1,0,0
6820408C15Rik,0,0,0,0,0,0,1,0
Fabp5,0,1,0,0,1,1,1,1
Cox10,1,0,0,0,1,1,1,0
Ankrd40,0,1,0,0,1,0,1,0
Ddo,0,1,1,0,1,1,1,0
Car4,0,0,0,1,1,0,1,0
Abcb1a,0,0,0,0,1,0,0,0
Vipr2,0,0,0,0,0,1,0,0
F2r,0,0,0,0,0,0,1,0
Ankrd9,0,1,0,0,1,1,1,0
Decr1,0,1,1,1,1,1,1,0
Abcb1b,0,0,0,0,1,0,0,0
Ppp1r3b,1,0,0,0,0,1,1,1
Rfx4,0,0,0,0,0,0,1,0
Ap1s1,0,1,0,0,0,0,0,0
Carhsp1,0,1,0,1,0,0,0,0
Tekt1,0,0,0,0,0,1,0,0
Slc25a48,0,0,0,1,0,0,1,1
Fam151a,0,0,0,1,1,0,0,1
Cox6b1,1,1,0,0,1,1,1,0
Aplp2,0,1,0,0,1,0,0,0
Deptor,0,1,1,0,0,0,1,0
Catsper3,0,0,0,1,0,0,0,0
Abcb9,0,0,0,0,1,0,1,0
Myl3,0,0,0,0,0,1,1,0
Fam195a,1,1,1,0,1,1,1,1
Ccno,0,0,0,1,0,0,0,0
Abcc1,0,0,0,0,1,0,0,0
Ccdc153,0,0,0,0,0,1,0,0
Acot1,0,0,0,0,0,0,1,0
Fam57b,1,1,1,1,1,1,1,1
Apool,0,1,0,0,1,1,1,0
Dhrs4,0,1,1,0,0,1,1,0
Abcc4,0,0,0,0,1,0,1,0
Fam83e,0,0,0,0,0,1,0,0
Cemip,0,0,0,1,0,0,0,0
Abcc5,0,0,0,0,1,0,0,0
Gm13461,0,0,0,0,0,0,1,0
Gbe1,0,0,0,1,1,1,1,1
Arf1,0,1,0,0,0,0,0,0
Cfap54,0,0,0,1,0,0,1,0
Abcc9,0,0,0,0,1,0,0,0
Epn3,0,0,0,0,0,0,1,0
Gfm1,1,1,1,0,0,1,1,1
Arl2bp,0,1,0,0,1,0,0,0
Cgrrf1,0,1,0,1,0,0,1,0
Abcd1,0,0,0,0,1,0,1,0
Gm10327,0,0,0,0,1,1,0,0
Cldn1,0,0,0,0,0,0,1,0
Gja1,0,1,1,0,1,0,1,1
Asna1,0,1,0,0,1,0,1,0
Abcd2,0,0,0,0,1,0,0,0
Dld,0,1,1,1,1,1,1,0
Gm3671,0,0,0,0,0,1,0,0
Gm10032,1,0,0,0,1,1,1,1
Dnaja3,1,1,1,0,1,1,1,0
Abhd5,0,0,0,0,1,0,0,0
Ak1,0,0,0,0,1,1,1,0
Gm10053,0,0,0,0,1,1,1,1
Ddit4,1,0,0,0,0,0,0,0
Atf5,0,1,0,0,0,1,0,0
Dpyd,0,0,1,0,0,0,0,0
Chpt1,0,0,0,1,1,1,0,0
Abi3bp,0,0,0,0,1,0,0,0
Pla2g2e,0,0,0,1,0,1,1,0
Cend1,0,0,0,0,0,1,1,0
Ddt,1,1,0,0,0,1,1,0
Eif2s3y,0,0,1,0,0,0,0,0
Ablim1,0,0,0,0,1,0,1,0
Sec14l4,1,0,0,0,0,1,1,1
Gm20775,0,0,0,0,0,0,1,0
Gm10108,0,0,0,0,1,0,1,1
Decr2,1,1,0,0,0,0,1,0
Atp5d,0,1,0,0,1,1,1,0
Letmd1,1,1,1,1,1,1,1,1
Gm5559,0,0,0,0,0,1,1,0
Gm14093,0,0,0,0,0,0,0,1
Des,1,0,0,0,1,0,1,0
S1pr5,0,0,0,0,0,1,1,0
Gm15241,1,0,0,0,0,0,0,1
Dhrs11,1,0,0,0,0,1,1,0
Atp9a,0,1,0,0,0,0,0,0
Cldn22,0,0,0,1,0,1,0,0
Acad12,0,0,0,0,1,0,0,0
Gm10012,0,0,0,0,0,1,0,0
Gchfr,0,0,0,1,0,1,1,0
Gm16537,1,0,0,0,1,0,0,1
Emsy,0,0,1,0,0,0,0,0
Cldn5,0,0,0,1,1,0,1,0
Acad9,0,0,0,0,1,0,0,0
Casq1,0,0,0,0,1,1,0,0
Gm21320,0,0,0,0,0,0,0,1
Endog,0,1,1,0,0,1,1,0
Tesc,0,0,0,0,0,0,1,0
Gm22777,0,0,0,0,0,0,0,1
Bckdk,0,1,0,0,1,0,1,0
Clstn3,0,1,0,1,0,1,1,0
Slc25a20,1,1,1,1,1,1,1,1
Gm25495,0,0,0,0,0,0,0,1
Bcl6,0,1,0,0,0,0,0,0
Coa7,0,0,0,1,0,0,1,0
Gm25596,0,0,0,0,1,0,0,1
Gmpr,1,0,0,0,1,1,1,0
Bpnt1,0,1,0,0,0,0,0,0
Coq3,0,1,0,1,0,1,1,0
Ace,0,0,0,0,1,0,0,0
Gm42814,0,0,0,0,0,1,0,0
Shtn1,0,0,0,0,0,0,1,0
Bre,0,1,0,0,1,0,0,0
Fam210a,0,1,1,0,1,1,1,0
Ackr3,0,0,0,0,1,0,1,0
Gm13772,0,0,0,0,0,1,1,0
Gpd1,1,1,0,1,1,1,1,1
Dusp4,1,0,0,0,1,0,0,0
Rasef,0,0,0,0,0,0,1,0
Gpd2,1,1,1,1,1,1,1,1
Ecsit,1,0,0,0,1,1,1,0
Bsg,0,1,0,0,0,0,1,0
Cpeb3,0,0,0,1,1,0,0,0
Gm10642,0,0,0,0,0,1,0,0
44083,0,0,0,0,1,0,1,0
Gsta3,0,0,0,1,0,1,0,1
Egln1,1,1,0,0,1,0,1,0
Myo5c,0,0,0,0,1,0,1,0
Gtf2ird1,1,0,0,0,1,0,1,1
Ehhadh,1,1,0,1,0,0,1,0
C1qa,0,1,0,0,0,0,0,0
Tmem82,1,0,0,0,0,1,1,0
C330007P06Rik,0,1,0,0,0,0,0,0
Fastkd1,0,0,1,0,0,0,1,0
Crat,0,1,0,1,1,1,1,0
Gm13784,0,0,0,0,0,1,1,0
Serinc2,0,0,0,0,0,0,1,0
Hadha,1,1,1,1,1,1,1,1
Cad,0,1,0,0,1,0,1,0
Fastkd2,0,0,1,0,0,0,1,0
Crtac1,0,0,0,1,0,0,0,0
Acot6,0,0,0,0,1,0,0,0
Pitx3,0,0,0,0,0,0,1,0
Hadhb,0,1,1,0,1,1,1,1
Caprin1,0,1,0,0,0,0,0,0
Acot9,0,0,0,0,1,0,1,0
Gm4841,0,0,0,0,0,1,0,0
Impa2,1,1,1,0,1,1,1,1
Fgf1,0,0,1,0,0,0,1,0
Gm13292,0,0,0,0,0,1,0,0
Slc6a19,0,0,0,0,0,0,1,0
Fads2,1,0,0,0,0,0,1,0
Cars2,0,1,0,0,0,0,1,0
Fh1,0,0,1,0,1,1,1,0
Cxcl17,0,0,0,1,0,0,0,0
Usmg5,0,0,0,0,1,1,1,0
Hk2,0,1,0,0,1,1,0,1
Fahd1,1,1,0,0,0,1,1,0
Cbr4,0,1,0,0,0,1,1,0
Foxred1,1,1,1,0,1,0,1,0
Gm14057,0,0,0,0,1,1,1,0
Tacr2,0,0,0,0,0,0,1,0
Hmgcs1,0,0,0,0,0,1,1,1
Cd99,0,1,0,0,0,0,0,0
Acss2os,0,0,0,0,1,0,0,0
Pank1,1,1,1,1,0,1,1,1
Hpdl,1,0,0,0,1,1,1,1
Acss3,0,0,0,0,1,0,0,0
Lipg,1,0,0,0,0,0,1,1
Hsd17b12,0,1,0,0,0,1,1,1
Fastk,1,1,0,0,1,0,1,0
Cdk16,0,1,0,0,1,0,0,0
Acta1,0,0,0,0,1,0,0,0
Idh3a,1,1,1,1,1,1,1,1
Fbxo21,1,0,0,1,0,0,0,0
Cdk5,0,1,0,0,1,0,1,0
Acta2,0,0,0,0,1,0,0,0
Tpd52l1,0,0,0,0,0,1,1,0
Gm5737,0,0,0,0,0,0,1,0
Cyp4a10,0,0,0,1,0,0,0,0
Actg-ps1,0,0,0,0,1,0,0,0
Scd2,0,1,0,0,1,1,1,0
Hdc,0,0,0,0,0,0,1,0
Gadd45g,1,0,0,0,0,1,0,0
Cyp4a31,0,0,0,1,0,0,0,0
Pigr,0,0,0,0,0,1,1,0
Got1,1,1,0,0,0,0,1,0
Itpk1,1,1,0,0,1,1,1,1
Cela1,0,1,0,0,0,0,0,0
Dbp,0,0,0,1,0,0,0,0
Actr1a,0,0,0,0,1,0,0,0
Mfsd4b1,0,0,0,0,0,1,1,0
Kcng4,0,0,0,0,0,0,1,0
Kcnk3,1,1,0,0,1,1,1,1
Cenpb,0,1,0,0,0,0,0,0
Gm17257,0,0,1,0,0,0,0,0
Gm2308,0,0,0,0,0,1,0,0
Glrx5,1,0,0,0,0,1,0,0
Ndufb6,1,1,0,0,1,1,1,1
Krt79,1,0,0,1,1,1,1,1
Dfna5,0,0,0,1,0,0,1,0
Gm8756,0,0,0,0,0,1,0,0
