Anon_GS,GSE_A,GSE_B,GSE_C,GSE_D,GSE_E,GSE_F,GSE_G,GSE_H,,,,,,
407a,0,1,0,0,1,1,1,0,,,,,,
408a,0,1,1,1,1,1,1,0,,,,,,
409a,0,0,0,0,1,0,1,0,,,,,,
410a,1,0,0,0,0,1,1,1,,,,,,
411a,0,0,0,0,0,0,1,0,,,,,,
412a,0,1,0,0,0,0,0,0,,,,,,
413a,0,1,0,1,0,0,0,0,,,,,,
414a,0,0,0,0,0,1,0,0,,,,,,
415a,0,0,0,1,0,0,1,1,,,,,,
416a,0,0,0,1,1,0,0,1,,,,,,
417a,0,1,0,0,1,0,0,0,,,,,,
418a,0,1,1,0,0,0,1,0,,,,,,
419a,0,0,0,1,0,0,0,0,,,,,,
420a,0,0,0,0,1,0,1,0,,,,,,
421a,0,0,0,0,0,1,1,0,,,,,,
422a,1,1,1,0,1,1,1,1,,,,,,
423a,1,1,0,0,1,1,1,0,,,,,,
424a,0,0,0,1,0,0,0,0,,,,,,
425a,0,0,0,0,1,0,0,0,,,,,,
426a,0,0,0,0,0,1,0,0,,,,,,
427a,0,0,0,0,0,0,1,0,,,,,,
428a,1,1,1,1,1,1,1,1,,,,,,
429a,0,1,0,0,1,1,1,0,,,,,,
430a,0,1,1,0,0,1,1,0,,,,,,
431a,0,0,0,0,1,0,1,0,,,,,,
432a,0,0,0,0,0,1,0,0,,,,,,
433a,0,0,0,1,0,1,0,0,,,,,,
434a,0,0,0,0,1,0,0,0,,,,,,
435a,0,0,0,0,0,0,1,0,,,,,,
436a,0,0,0,1,1,1,1,1,,,,,,
437a,0,1,0,0,0,0,0,0,,,,,,
438a,0,0,0,1,0,0,1,0,,,,,,
439a,0,0,0,0,1,0,1,0,,,,,,
440a,0,0,0,0,0,0,1,0,,,,,,
441a,1,1,1,0,0,1,1,1,,,,,,
442a,0,1,0,0,1,0,0,0,,,,,,
443a,0,1,0,1,0,0,1,0,,,,,,
444a,0,0,0,0,1,0,1,0,,,,,,
445a,0,0,0,0,1,1,0,0,,,,,,
446a,0,0,0,0,1,0,1,0,,,,,,
447a,0,1,1,0,1,0,1,1,,,,,,
448a,0,1,0,0,1,0,1,0,,,,,,
449a,0,0,0,0,1,0,1,0,,,,,,
450a,0,1,1,1,1,1,1,0,,,,,,
451a,0,0,0,0,0,1,0,0,,,,,,
452a,1,0,0,0,1,1,1,1,,,,,,
453a,1,1,1,0,1,1,1,0,,,,,,
454a,0,0,0,0,1,0,0,0,,,,,,
455a,0,0,0,0,1,1,1,0,,,,,,
456a,0,0,0,0,1,1,1,1,,,,,,
457a,0,1,0,0,0,1,0,0,,,,,,
458a,0,0,1,0,1,0,0,0,,,,,,
459a,0,0,0,1,1,1,0,0,,,,,,
460a,0,1,0,0,1,0,1,0,,,,,,
461a,0,0,0,1,0,1,1,0,,,,,,
462a,0,0,0,0,0,1,1,0,,,,,,
463a,1,0,0,0,0,0,0,0,,,,,,
464a,0,0,1,0,0,0,0,0,,,,,,
465a,0,0,0,0,1,0,1,0,,,,,,
466a,1,0,0,0,1,1,1,1,,,,,,
467a,0,0,0,0,0,0,1,0,,,,,,
468a,0,0,0,0,1,0,1,1,,,,,,
469a,1,1,0,0,0,1,1,0,,,,,,
470a,0,1,0,0,1,1,1,0,,,,,,
471a,1,1,1,1,1,1,1,1,,,,,,
472a,0,0,0,0,0,1,1,0,,,,,,
473a,0,0,0,0,0,0,0,1,,,,,,
474a,1,1,0,0,0,0,1,0,,,,,,
475a,0,0,0,0,0,1,1,0,,,,,,
476a,1,0,0,0,0,0,0,1,,,,,,
477a,1,0,0,0,1,0,1,0,,,,,,
478a,0,1,0,0,0,0,0,0,,,,,,
479a,0,0,0,1,0,1,1,0,,,,,,
480a,0,0,0,0,1,0,0,0,,,,,,
481a,0,0,0,0,0,1,0,0,,,,,,
482a,0,0,0,1,1,1,1,0,,,,,,
483a,1,0,0,0,1,0,0,1,,,,,,
484a,1,0,0,0,0,1,1,0,,,,,,
485a,0,0,1,0,0,0,0,0,,,,,,
486a,0,0,0,1,1,0,1,0,,,,,,
487a,0,0,0,0,1,0,0,0,,,,,,
488a,0,0,0,0,1,1,0,0,,,,,,
489a,0,0,0,0,1,0,0,1,,,,,,
490a,0,1,1,0,0,1,1,0,,,,,,
491a,0,0,0,0,0,0,1,0,,,,,,
492a,0,0,0,0,0,0,0,1,,,,,,
493a,0,1,0,0,1,0,1,0,,,,,,
494a,0,1,0,1,0,1,1,0,,,,,,
495a,1,1,1,1,1,1,1,1,,,,,,
496a,0,0,0,0,0,0,0,1,,,,,,
497a,0,1,0,0,0,0,0,0,,,,,,
498a,0,0,0,1,0,0,1,0,,,,,,
499a,0,0,0,0,1,0,0,1,,,,,,
500a,1,0,0,0,1,1,1,0,,,,,,
501a,0,1,0,0,0,0,0,0,,,,,,
502a,0,1,0,1,0,1,1,0,,,,,,
503a,0,0,0,0,1,1,0,0,,,,,,
504a,0,0,0,0,0,1,0,0,,,,,,
505a,0,0,0,0,0,0,1,0,,,,,,
506a,0,1,0,0,1,0,0,0,,,,,,
507a,0,1,1,0,1,1,1,0,,,,,,
508a,0,0,0,0,1,0,1,0,,,,,,
509a,0,0,0,0,0,1,1,0,,,,,,
510a,1,1,0,1,1,1,1,1,,,,,,
511a,0,0,0,0,0,0,1,0,,,,,,
512a,1,1,1,1,1,1,1,1,,,,,,
513a,1,0,0,0,1,0,0,0,,,,,,
514a,0,1,0,0,0,0,1,0,,,,,,
515a,0,0,0,1,1,0,0,0,,,,,,
516a,0,0,0,0,0,1,0,0,,,,,,
517a,0,0,0,0,1,0,1,0,,,,,,
518a,0,0,0,1,1,1,0,1,,,,,,
519a,1,0,0,0,1,1,1,0,,,,,,
520a,0,0,0,0,1,0,1,0,,,,,,
521a,1,0,0,0,1,0,1,1,,,,,,
522a,1,1,0,0,1,0,1,0,,,,,,
523a,1,1,1,0,0,0,0,0,,,,,,
524a,1,0,0,0,1,1,1,0,,,,,,
525a,1,1,0,1,0,0,1,0,,,,,,
526a,0,1,0,0,0,0,0,0,,,,,,
527a,0,0,1,0,0,0,1,0,,,,,,
528a,0,1,0,1,1,1,1,0,,,,,,
529a,0,0,0,0,0,1,1,0,,,,,,
530a,0,0,0,0,0,0,1,0,,,,,,
531a,1,1,1,1,1,1,1,1,,,,,,
532a,0,1,0,0,1,0,1,0,,,,,,
533a,0,0,1,0,0,0,1,0,,,,,,
534a,0,0,0,1,0,1,0,0,,,,,,
535a,0,0,0,0,1,0,0,0,,,,,,
536a,0,0,0,0,0,0,1,0,,,,,,
537a,0,1,1,0,1,1,1,1,,,,,,
538a,0,1,0,0,0,0,0,0,,,,,,
539a,0,0,0,0,1,0,1,0,,,,,,
540a,0,0,0,0,0,1,0,0,,,,,,
541a,1,1,1,0,1,1,1,1,,,,,,
542a,0,0,1,0,1,0,1,0,,,,,,
543a,0,0,0,0,0,1,0,0,,,,,,
544a,0,0,0,0,0,0,1,0,,,,,,
545a,0,1,0,0,0,0,1,0,,,,,,
546a,0,0,1,0,1,1,1,0,,,,,,
547a,0,0,0,1,0,0,0,0,,,,,,
548a,0,0,0,0,1,1,1,0,,,,,,
549a,0,1,0,0,1,1,0,1,,,,,,
550a,1,0,0,0,1,0,1,0,,,,,,
551a,0,1,0,0,0,1,1,0,,,,,,
552a,1,1,1,0,1,0,1,0,,,,,,
