Anon_GS,GSE_A,GSE_B,GSE_C,GSE_D,GSE_E,GSE_F,GSE_G,GSE_H,,,,,,
3946a,0,0,0,0,1,0,0,0,,,,,,
3947a,0,0,0,0,0,0,1,0,,,,,,
3948a,0,0,0,0,1,0,0,0,,,,,,
3949a,0,1,0,0,0,0,1,0,,,,,,
3950a,0,1,0,0,1,0,0,0,,,,,,
3951a,0,0,0,0,1,0,1,0,,,,,,
3952a,0,1,0,0,0,0,1,0,,,,,,
3953a,0,1,0,0,0,0,0,0,,,,,,
3954a,0,0,0,0,1,0,1,0,,,,,,
3955a,0,0,0,0,1,0,1,0,,,,,,
3956a,0,1,0,0,0,0,1,0,,,,,,
3957a,0,0,0,0,1,0,0,0,,,,,,
3958a,0,0,0,0,0,0,1,0,,,,,,
3959a,0,0,0,0,1,0,1,0,,,,,,
3960a,0,0,0,0,0,0,1,0,,,,,,
3961a,0,1,0,0,0,0,1,0,,,,,,
3962a,0,0,0,0,1,0,1,0,,,,,,
3963a,0,0,0,0,1,0,1,0,,,,,,
3964a,0,0,0,0,0,0,1,0,,,,,,
3965a,0,0,0,0,1,0,0,0,,,,,,
3966a,0,1,0,0,0,0,1,0,,,,,,
3967a,0,0,0,0,1,0,1,0,,,,,,
3968a,0,0,0,0,0,0,1,0,,,,,,
3969a,0,0,0,0,1,0,1,0,,,,,,
3970a,0,1,0,0,1,0,0,0,,,,,,
3971a,0,0,0,0,0,0,1,0,,,,,,
3972a,0,1,0,0,0,0,1,0,,,,,,
3973a,0,0,0,0,1,0,0,0,,,,,,
3974a,0,0,0,0,0,0,1,0,,,,,,
3975a,0,1,0,0,0,0,0,0,,,,,,
3976a,0,0,0,0,1,0,0,0,,,,,,
3977a,0,0,0,0,0,0,1,0,,,,,,
3978a,0,1,0,0,0,0,0,0,,,,,,
3979a,0,0,0,0,1,0,0,0,,,,,,
3980a,0,0,0,0,0,0,1,0,,,,,,
3981a,0,1,0,0,0,0,0,0,,,,,,
3982a,0,0,0,0,1,0,1,0,,,,,,
3983a,0,0,0,0,1,0,1,0,,,,,,
3984a,0,1,0,0,0,0,0,0,,,,,,
3985a,0,0,0,0,1,0,0,0,,,,,,
3986a,0,0,0,0,1,0,1,0,,,,,,
3987a,0,1,0,0,1,0,0,0,,,,,,
3988a,0,1,0,0,0,0,1,0,,,,,,
3989a,0,0,0,0,1,0,0,0,,,,,,
3990a,0,0,0,0,0,0,1,0,,,,,,
3991a,0,1,0,0,0,0,0,0,,,,,,
3992a,0,0,0,0,0,0,1,0,,,,,,
3993a,0,0,0,0,1,0,1,0,,,,,,
3994a,0,0,0,0,0,0,1,0,,,,,,
3995a,0,0,0,0,1,0,0,0,,,,,,
3996a,0,0,0,0,0,0,1,0,,,,,,
3997a,0,0,0,0,1,0,0,0,,,,,,
3998a,0,0,0,0,1,0,1,0,,,,,,
3999a,0,0,0,0,1,0,0,0,,,,,,
4000a,0,0,0,0,0,0,1,0,,,,,,
4001a,0,0,0,0,1,0,0,0,,,,,,
4002a,0,1,0,0,0,0,0,0,,,,,,
4003a,0,0,0,0,1,0,0,0,,,,,,
4004a,0,0,0,0,0,0,1,0,,,,,,
4005a,0,0,0,0,1,0,0,0,,,,,,
4006a,0,1,0,0,1,0,0,0,,,,,,
4007a,0,0,0,0,1,0,0,0,,,,,,
4008a,0,0,0,0,0,0,1,0,,,,,,
4009a,0,1,0,0,1,0,0,0,,,,,,
4010a,0,0,0,0,1,0,0,0,,,,,,
4011a,0,0,0,0,1,0,1,0,,,,,,
4012a,0,0,0,0,1,0,0,0,,,,,,
4013a,0,0,0,0,0,0,1,0,,,,,,
4014a,0,1,0,0,0,0,0,0,,,,,,
4015a,0,0,0,0,1,0,0,0,,,,,,
4016a,0,1,0,0,0,0,0,0,,,,,,
4017a,0,0,0,0,1,0,0,0,,,,,,
4018a,0,0,0,0,0,0,1,0,,,,,,
4019a,0,0,0,0,1,0,0,0,,,,,,
4020a,0,0,0,0,1,0,1,0,,,,,,
4021a,0,1,0,0,0,0,0,0,,,,,,
4022a,0,0,0,0,1,0,1,0,,,,,,
4023a,0,0,0,0,1,0,0,0,,,,,,
4024a,0,0,0,0,0,0,1,0,,,,,,
4025a,0,0,0,0,1,0,1,0,,,,,,
4026a,0,1,0,0,0,0,0,0,,,,,,
4027a,0,0,0,0,0,0,1,0,,,,,,
4028a,0,1,0,0,0,0,1,0,,,,,,
4029a,0,0,0,0,1,0,0,0,,,,,,
4030a,0,0,0,0,0,0,1,0,,,,,,
4031a,0,1,0,0,0,0,1,0,,,,,,
4032a,0,0,0,0,1,0,0,0,,,,,,
4033a,0,1,0,0,0,0,0,0,,,,,,
4034a,0,0,0,0,1,0,0,0,,,,,,
4035a,0,1,0,0,0,0,0,0,,,,,,
4036a,0,0,0,0,0,0,1,0,,,,,,
4037a,0,1,0,0,1,0,1,0,,,,,,
4038a,0,1,0,0,0,0,1,0,,,,,,
4039a,0,0,0,0,0,0,1,0,,,,,,
4040a,0,1,0,0,1,0,0,0,,,,,,
4041a,0,0,0,0,1,0,1,0,,,,,,
4042a,0,0,0,0,0,0,1,0,,,,,,
4043a,0,0,0,0,1,0,0,0,,,,,,
4044a,0,1,0,0,0,0,1,0,,,,,,
4045a,0,0,0,0,1,0,0,0,,,,,,
4046a,0,0,0,0,0,0,1,0,,,,,,
4047a,0,1,0,0,1,0,1,0,,,,,,
4048a,0,0,0,0,0,0,1,0,,,,,,
4049a,0,1,0,0,0,0,0,0,,,,,,
4050a,0,0,0,0,1,0,1,0,,,,,,
4051a,0,0,0,0,1,0,1,0,,,,,,
4052a,0,1,0,0,1,0,1,0,,,,,,
4053a,0,0,0,0,1,0,0,0,,,,,,
4054a,0,0,0,0,1,0,1,0,,,,,,
4055a,0,1,0,0,0,0,0,0,,,,,,
4056a,0,0,0,0,1,0,0,0,,,,,,
4057a,0,1,0,0,0,0,0,0,,,,,,
4058a,0,0,0,0,1,0,0,0,,,,,,
4059a,0,1,0,0,0,0,0,0,,,,,,
4060a,0,0,0,0,0,0,1,0,,,,,,
4061a,0,0,0,0,1,0,1,0,,,,,,
4062a,0,1,0,0,0,0,0,0,,,,,,
4063a,0,0,0,0,1,0,0,0,,,,,,
4064a,0,0,0,0,0,0,1,0,,,,,,
4065a,0,1,0,0,0,0,0,0,,,,,,
4066a,0,0,0,0,0,0,1,0,,,,,,
4067a,0,1,0,0,0,0,0,0,,,,,,
4068a,0,0,0,0,0,0,1,0,,,,,,
4069a,0,1,0,0,0,0,0,0,,,,,,
4070a,0,1,0,0,0,0,0,0,,,,,,
4071a,0,0,0,0,1,0,1,0,,,,,,
4072a,0,1,0,0,0,0,0,0,,,,,,
4073a,0,1,0,0,0,0,1,0,,,,,,
4074a,0,0,0,0,1,0,1,0,,,,,,
4075a,0,1,0,0,1,0,1,0,,,,,,
4076a,0,0,0,0,1,0,1,0,,,,,,
4077a,0,0,0,0,1,0,0,0,,,,,,
4078a,0,0,0,0,0,0,1,0,,,,,,
4079a,0,1,0,0,0,0,1,0,,,,,,
4080a,0,1,0,0,0,0,0,0,,,,,,
4081a,0,1,0,0,0,0,0,0,,,,,,
4082a,0,0,0,0,0,0,1,0,,,,,,
4083a,0,1,0,0,0,0,1,0,,,,,,
4084a,0,0,0,0,1,0,1,0,,,,,,
4085a,0,1,0,0,0,0,1,0,,,,,,
4086a,0,0,0,0,1,0,0,0,,,,,,
4087a,0,0,0,0,0,0,1,0,,,,,,
4088a,0,1,0,0,0,0,0,0,,,,,,
4089a,0,0,0,0,0,0,1,0,,,,,,
4090a,0,1,0,0,0,0,0,0,,,,,,
4091a,0,0,0,0,0,0,1,0,,,,,,
4092a,0,1,0,0,0,0,1,0,,,,,,
4093a,0,0,0,0,1,0,0,0,,,,,,
4094a,0,0,0,0,1,0,1,0,,,,,,
4095a,0,1,0,0,0,0,0,0,,,,,,
4096a,0,0,0,0,1,0,0,0,,,,,,
4097a,0,1,0,0,0,0,1,0,,,,,,
4098a,0,0,0,0,0,0,1,0,,,,,,
4099a,0,0,0,0,1,0,1,0,,,,,,
4100a,0,1,0,0,1,0,1,0,,,,,,
4101a,0,0,0,0,1,0,0,0,,,,,,
4102a,0,0,0,0,0,0,1,0,,,,,,
4103a,0,1,0,0,1,0,1,0,,,,,,
4104a,0,0,0,0,0,0,1,0,,,,,,
4105a,0,0,0,0,1,0,0,0,,,,,,
4106a,0,0,0,0,0,0,1,0,,,,,,
4107a,0,1,0,0,0,0,0,0,,,,,,
4108a,0,0,0,0,1,0,1,0,,,,,,
4109a,0,1,0,0,0,0,0,0,,,,,,
4110a,0,0,0,0,1,0,1,0,,,,,,
4111a,0,1,0,0,1,0,1,0,,,,,,
4112a,0,1,0,0,0,0,0,0,,,,,,
4113a,0,0,0,0,1,0,0,0,,,,,,
4114a,0,0,0,0,0,0,1,0,,,,,,
4115a,0,1,0,0,0,0,0,0,,,,,,
4116a,0,0,0,0,1,0,1,0,,,,,,
4117a,0,0,0,0,0,0,1,0,,,,,,
4118a,0,1,0,0,0,0,0,0,,,,,,
4119a,0,0,0,0,0,0,1,0,,,,,,
4120a,0,1,0,0,0,0,1,0,,,,,,
4121a,0,0,0,0,1,0,0,0,,,,,,
4122a,0,1,0,0,0,0,0,0,,,,,,
4123a,0,0,0,0,1,0,1,0,,,,,,
4124a,0,0,0,0,0,0,1,0,,,,,,
4125a,0,1,0,0,0,0,0,0,,,,,,
4126a,0,0,0,0,1,0,1,0,,,,,,
4127a,0,1,0,0,0,0,0,0,,,,,,
4128a,0,0,0,0,0,0,1,0,,,,,,
4129a,0,1,0,0,1,0,0,0,,,,,,
4130a,0,0,0,0,1,0,0,0,,,,,,
4131a,0,0,0,0,0,0,1,0,,,,,,
4132a,0,1,0,0,0,0,0,0,,,,,,
4133a,0,0,0,0,1,0,0,0,,,,,,
4134a,0,0,0,0,1,0,1,0,,,,,,
4135a,0,0,0,0,1,0,0,0,,,,,,
4136a,0,0,0,0,1,0,1,0,,,,,,
4137a,0,0,0,0,0,0,1,0,,,,,,
4138a,0,1,0,0,1,0,1,0,,,,,,
4139a,0,1,0,0,0,0,0,0,,,,,,
4140a,0,1,0,0,0,0,1,0,,,,,,
4141a,0,0,0,0,1,0,0,0,,,,,,
4142a,0,0,0,0,1,0,1,0,,,,,,
4143a,0,1,0,0,0,0,1,0,,,,,,
4144a,0,1,0,0,0,0,1,0,,,,,,
4145a,0,0,0,0,1,0,0,0,,,,,,
4146a,0,1,0,0,0,0,0,0,,,,,,
4147a,0,0,0,0,1,0,0,0,,,,,,
4148a,0,0,0,0,1,0,1,0,,,,,,
4149a,0,0,0,0,1,0,1,0,,,,,,
4150a,0,1,0,0,0,0,0,0,,,,,,
4151a,0,0,0,0,1,0,0,0,,,,,,
4152a,0,0,0,0,0,0,1,0,,,,,,
4153a,0,1,0,0,0,0,1,0,,,,,,
4154a,0,0,0,0,1,0,0,0,,,,,,
4155a,0,1,0,0,0,0,1,0,,,,,,
4156a,0,0,0,0,1,0,1,0,,,,,,
4157a,0,1,0,0,1,0,0,0,,,,,,
4158a,0,1,0,0,0,0,1,0,,,,,,
4159a,0,1,0,0,0,0,1,0,,,,,,
4160a,0,0,0,0,1,0,0,0,,,,,,
4161a,0,0,0,0,0,0,1,0,,,,,,
4162a,0,0,0,0,1,0,1,0,,,,,,
4163a,0,0,0,0,0,0,1,0,,,,,,
4164a,0,1,0,0,0,0,0,0,,,,,,
4165a,0,0,0,0,0,0,1,0,,,,,,
4166a,0,1,0,0,0,0,0,0,,,,,,
4167a,0,1,0,0,0,0,0,0,,,,,,
4168a,0,0,0,0,0,0,1,0,,,,,,
4169a,0,1,0,0,0,0,1,0,,,,,,
4170a,0,0,0,0,1,0,0,0,,,,,,
4171a,0,0,0,0,1,0,1,0,,,,,,
4172a,0,1,0,0,1,0,0,0,,,,,,
4173a,0,0,0,0,0,0,1,0,,,,,,
4174a,0,1,0,0,0,0,1,0,,,,,,
4175a,0,0,0,0,0,0,1,0,,,,,,
4176a,0,1,0,0,0,0,0,0,,,,,,
4177a,0,0,0,0,1,0,1,0,,,,,,
4178a,0,0,0,0,0,0,1,0,,,,,,
4179a,0,1,0,0,1,0,0,0,,,,,,
4180a,0,0,0,0,1,0,1,0,,,,,,
4181a,0,0,0,0,1,0,1,0,,,,,,
4182a,0,0,0,0,1,0,1,0,,,,,,
4183a,0,1,0,0,0,0,0,0,,,,,,
4184a,0,0,0,0,1,0,0,0,,,,,,
4185a,0,0,0,0,1,0,0,0,,,,,,
4186a,0,1,0,0,0,0,0,0,,,,,,
4187a,0,0,0,0,1,0,0,0,,,,,,
4188a,0,0,0,0,1,0,0,0,,,,,,
4189a,0,0,0,0,0,0,1,0,,,,,,
4190a,0,1,0,0,0,0,0,0,,,,,,
4191a,0,0,0,0,1,0,1,0,,,,,,
4192a,0,0,0,0,1,0,1,0,,,,,,
4193a,0,1,0,0,0,0,0,0,,,,,,
4194a,0,0,0,0,0,0,1,0,,,,,,
4195a,0,1,0,0,1,0,1,0,,,,,,
4196a,0,0,0,0,0,0,1,0,,,,,,
4197a,0,1,0,0,0,0,0,0,,,,,,
4198a,0,0,0,0,1,0,0,0,,,,,,
4199a,0,1,0,0,1,0,0,0,,,,,,
4200a,0,0,0,0,1,0,0,0,,,,,,
4201a,0,1,0,0,0,0,1,0,,,,,,
4202a,0,0,0,0,1,0,1,0,,,,,,
4203a,0,1,0,0,0,0,0,0,,,,,,
4204a,0,0,0,0,1,0,1,0,,,,,,
4205a,0,0,0,0,0,0,1,0,,,,,,
4206a,0,1,0,0,0,0,0,0,,,,,,
4207a,0,0,0,0,1,0,1,0,,,,,,
4208a,0,0,0,0,1,0,1,0,,,,,,
4209a,0,1,0,0,0,0,0,0,,,,,,
4210a,0,0,0,0,0,0,1,0,,,,,,
4211a,0,1,0,0,0,0,0,0,,,,,,
4212a,0,0,0,0,0,0,1,0,,,,,,
4213a,0,1,0,0,0,0,0,0,,,,,,
4214a,0,1,0,0,0,0,0,0,,,,,,
4215a,0,0,0,0,0,0,1,0,,,,,,
4216a,0,1,0,0,1,0,0,0,,,,,,
4217a,0,1,0,0,0,0,0,0,,,,,,
4218a,0,0,0,0,1,0,0,0,,,,,,
4219a,0,0,0,0,1,0,1,0,,,,,,
4220a,0,1,0,0,0,0,0,0,,,,,,
4221a,0,1,0,0,1,0,1,0,,,,,,
4222a,0,0,0,0,1,0,0,0,,,,,,
4223a,0,1,0,0,0,0,0,0,,,,,,
4224a,0,0,0,0,0,0,1,0,,,,,,
4225a,0,1,0,0,0,0,1,0,,,,,,
4226a,0,1,0,0,1,0,1,0,,,,,,
4227a,0,1,0,0,0,0,0,0,,,,,,
4228a,0,0,0,0,0,0,1,0,,,,,,
4229a,0,1,0,0,1,0,1,0,,,,,,
4230a,0,0,0,0,1,0,1,0,,,,,,
4231a,0,0,0,0,0,0,1,0,,,,,,
4232a,0,1,0,0,1,0,0,0,,,,,,
4233a,0,0,0,0,1,0,0,0,,,,,,
4234a,0,0,0,0,0,0,1,0,,,,,,
4235a,0,0,0,0,1,0,0,0,,,,,,
4236a,0,1,0,0,0,0,1,0,,,,,,
4237a,0,0,0,0,0,0,1,0,,,,,,
4238a,0,1,0,0,0,0,1,0,,,,,,
4239a,0,0,0,0,0,0,1,0,,,,,,
4240a,0,1,0,0,0,0,1,0,,,,,,
4241a,0,0,0,0,0,0,1,0,,,,,,
4242a,0,1,0,0,0,0,1,0,,,,,,
4243a,0,1,0,0,0,0,1,0,,,,,,
4244a,0,0,0,0,0,0,1,0,,,,,,
4245a,0,1,0,0,0,0,0,0,,,,,,
4246a,0,0,0,0,0,0,1,0,,,,,,
4247a,0,1,0,0,0,0,0,0,,,,,,
4248a,0,1,0,0,0,0,0,0,,,,,,
4249a,0,0,0,0,0,0,1,0,,,,,,
4250a,0,1,0,0,0,0,0,0,,,,,,
4251a,0,0,0,0,0,0,1,0,,,,,,
4252a,0,1,0,0,0,0,0,0,,,,,,
4253a,0,0,0,0,0,0,1,0,,,,,,
4254a,0,1,0,0,0,0,0,0,,,,,,
4255a,0,0,0,0,0,0,1,0,,,,,,
4256a,0,1,0,0,1,0,1,0,,,,,,
4257a,0,1,0,0,1,0,0,0,,,,,,
4258a,0,0,0,0,0,0,1,0,,,,,,
4259a,0,1,0,0,1,0,0,0,,,,,,
4260a,0,0,0,0,0,0,1,0,,,,,,
4261a,0,1,0,0,0,0,0,0,,,,,,
4262a,0,0,0,0,1,0,0,0,,,,,,
4263a,0,0,0,0,1,0,1,0,,,,,,
4264a,0,1,0,0,0,0,0,0,,,,,,
4265a,0,0,0,0,1,0,1,0,,,,,,
4266a,0,0,0,0,1,0,1,0,,,,,,
4267a,0,1,0,0,0,0,1,0,,,,,,
4268a,0,1,0,0,0,0,0,0,,,,,,
4269a,0,0,0,0,1,0,0,0,,,,,,
4270a,0,1,0,0,0,0,0,0,,,,,,
4271a,0,0,0,0,1,0,0,0,,,,,,
4272a,0,0,0,0,1,0,0,0,,,,,,
4273a,0,0,0,0,0,0,1,0,,,,,,
4274a,0,1,0,0,0,0,0,0,,,,,,
4275a,0,0,0,0,1,0,0,0,,,,,,
4276a,0,1,0,0,0,0,1,0,,,,,,
4277a,0,0,0,0,1,0,0,0,,,,,,
4278a,0,1,0,0,0,0,0,0,,,,,,
4279a,0,0,0,0,1,0,0,0,,,,,,
4280a,0,0,0,0,1,0,1,0,,,,,,
4281a,0,1,0,0,0,0,0,0,,,,,,
4282a,0,0,0,0,1,0,0,0,,,,,,
4283a,0,0,0,0,0,0,1,0,,,,,,
4284a,0,1,0,0,0,0,1,0,,,,,,
4285a,0,1,0,0,0,0,0,0,,,,,,
4286a,0,0,0,0,1,0,0,0,,,,,,
4287a,0,0,0,0,0,0,1,0,,,,,,
4288a,0,1,0,0,0,0,0,0,,,,,,
4289a,0,0,0,0,0,0,1,0,,,,,,
4290a,0,1,0,0,0,0,0,0,,,,,,
4291a,0,0,0,0,1,0,0,0,,,,,,
4292a,0,0,0,0,0,0,1,0,,,,,,
4293a,0,1,0,0,0,0,1,0,,,,,,
4294a,0,0,0,0,1,0,1,0,,,,,,
4295a,0,1,0,0,0,0,0,0,,,,,,
4296a,0,0,0,0,1,0,0,0,,,,,,
4297a,0,0,0,0,0,0,1,0,,,,,,
4298a,0,1,0,0,0,0,0,0,,,,,,
4299a,0,0,0,0,0,0,1,0,,,,,,
4300a,0,0,0,0,1,0,1,0,,,,,,
4301a,0,1,0,0,1,0,1,0,,,,,,
4302a,0,0,0,0,1,0,0,0,,,,,,
4303a,0,1,0,0,0,0,0,0,,,,,,
4304a,0,0,0,0,1,0,0,0,,,,,,
4305a,0,1,0,0,0,0,0,0,,,,,,
4306a,0,0,0,0,1,0,1,0,,,,,,
4307a,0,1,0,0,1,0,0,0,,,,,,
4308a,0,0,0,0,1,0,0,0,,,,,,
4309a,0,0,0,0,0,0,1,0,,,,,,
4310a,0,1,0,0,0,0,0,0,,,,,,
4311a,0,0,0,0,1,0,1,0,,,,,,
4312a,0,1,0,0,1,0,0,0,,,,,,
4313a,0,0,0,0,1,0,0,0,,,,,,
4314a,0,1,0,0,0,0,0,0,,,,,,
4315a,0,0,0,0,1,0,1,0,,,,,,
4316a,0,1,0,0,0,0,0,0,,,,,,
4317a,0,0,0,0,1,0,0,0,,,,,,
4318a,0,0,0,0,1,0,1,0,,,,,,
4319a,0,1,0,0,0,0,1,0,,,,,,
4320a,0,0,0,0,0,0,1,0,,,,,,
4321a,0,1,0,0,0,0,0,0,,,,,,
4322a,0,1,0,0,0,0,0,0,,,,,,
4323a,0,1,0,0,0,0,1,0,,,,,,
4324a,0,0,0,0,1,0,0,0,,,,,,
4325a,0,0,0,0,0,0,1,0,,,,,,
4326a,0,1,0,0,0,0,0,0,,,,,,
4327a,0,1,0,0,0,0,0,0,,,,,,
4328a,0,0,0,0,1,0,1,0,,,,,,
4329a,0,1,0,0,0,0,1,0,,,,,,
4330a,0,0,0,0,1,0,1,0,,,,,,
4331a,0,0,0,0,0,0,1,0,,,,,,
4332a,0,1,0,0,0,0,0,0,,,,,,
4333a,0,0,0,0,1,0,0,0,,,,,,
4334a,0,0,0,0,1,0,1,0,,,,,,
4335a,0,1,0,0,0,0,0,0,,,,,,
4336a,0,1,0,0,0,0,0,0,,,,,,
4337a,0,1,0,0,0,0,0,0,,,,,,
4338a,0,1,0,0,1,0,0,0,,,,,,
4339a,0,0,0,0,1,0,0,0,,,,,,
4340a,0,0,0,0,0,0,1,0,,,,,,
4341a,0,1,0,0,0,0,1,0,,,,,,
4342a,0,0,0,0,1,0,0,0,,,,,,
4343a,0,1,0,0,0,0,0,0,,,,,,
4344a,0,0,0,0,1,0,0,0,,,,,,
4345a,0,0,0,0,0,0,1,0,,,,,,
4346a,0,1,0,0,0,0,0,0,,,,,,
4347a,0,0,0,0,1,0,0,0,,,,,,
4348a,0,1,0,0,0,0,1,0,,,,,,
4349a,0,0,0,0,1,0,0,0,,,,,,
4350a,0,0,0,0,0,0,1,0,,,,,,
4351a,0,0,0,0,1,0,1,0,,,,,,
4352a,0,0,0,0,1,0,0,0,,,,,,
4353a,0,0,0,0,0,0,1,0,,,,,,
4354a,0,0,0,0,1,0,0,0,,,,,,
4355a,0,1,0,0,0,0,0,0,,,,,,
4356a,0,0,0,0,0,0,1,0,,,,,,
4357a,0,1,0,0,0,0,1,0,,,,,,
4358a,0,0,0,0,0,0,1,0,,,,,,
4359a,0,1,0,0,0,0,0,0,,,,,,
4360a,0,1,0,0,0,0,0,0,,,,,,
4361a,0,0,0,0,1,0,0,0,,,,,,
4362a,0,0,0,0,0,0,1,0,,,,,,
4363a,0,0,0,0,1,0,0,0,,,,,,
4364a,0,0,0,0,1,0,1,0,,,,,,
4365a,0,1,0,0,1,0,1,0,,,,,,
4366a,0,0,0,0,0,0,1,0,,,,,,
4367a,0,1,0,0,0,0,0,0,,,,,,
4368a,0,0,0,0,0,0,1,0,,,,,,
4369a,0,1,0,0,0,0,0,0,,,,,,
4370a,0,0,0,0,0,0,1,0,,,,,,
4371a,0,1,0,0,0,0,0,0,,,,,,
4372a,0,0,0,0,1,0,0,0,,,,,,
4373a,0,0,0,0,0,0,1,0,,,,,,
4374a,0,1,0,0,0,0,1,0,,,,,,
4375a,0,1,0,0,0,0,0,0,,,,,,
4376a,0,0,0,0,1,0,0,0,,,,,,
4377a,0,1,0,0,0,0,0,0,,,,,,
4378a,0,0,0,0,1,0,0,0,,,,,,
4379a,0,0,0,0,1,0,1,0,,,,,,
4380a,0,1,0,0,0,0,0,0,,,,,,
4381a,0,0,0,0,1,0,0,0,,,,,,
4382a,0,0,0,0,0,0,1,0,,,,,,
4383a,0,0,0,0,1,0,0,0,,,,,,
4384a,0,0,0,0,1,0,1,0,,,,,,
4385a,0,1,0,0,1,0,1,0,,,,,,
4386a,0,0,0,0,1,0,0,0,,,,,,
4387a,0,0,0,0,0,0,1,0,,,,,,
4388a,0,0,0,0,1,0,0,0,,,,,,
4389a,0,1,0,0,0,0,0,0,,,,,,
4390a,0,0,0,0,1,0,0,0,,,,,,
4391a,0,0,0,0,0,0,1,0,,,,,,
4392a,0,1,0,0,0,0,0,0,,,,,,
4393a,0,1,0,0,0,0,0,0,,,,,,
4394a,0,1,0,0,0,0,0,0,,,,,,
4395a,0,1,0,0,1,0,1,0,,,,,,
4396a,0,0,0,0,1,0,0,0,,,,,,
4397a,0,0,0,0,0,0,1,0,,,,,,
4398a,0,1,0,0,1,0,1,0,,,,,,
4399a,0,0,0,0,0,0,1,0,,,,,,
4400a,0,1,0,0,0,0,0,0,,,,,,
4401a,0,0,0,0,1,0,1,0,,,,,,
4402a,0,1,0,0,0,0,0,0,,,,,,
4403a,0,0,0,0,1,0,1,0,,,,,,
4404a,0,1,0,0,0,0,1,0,,,,,,
4405a,0,0,0,0,1,0,0,0,,,,,,
4406a,0,0,0,0,0,0,1,0,,,,,,
4407a,0,1,0,0,0,0,1,0,,,,,,
4408a,0,0,0,0,1,0,0,0,,,,,,
4409a,0,0,0,0,0,0,1,0,,,,,,
4410a,0,0,0,0,1,0,0,0,,,,,,
4411a,0,0,0,0,1,0,0,0,,,,,,
4412a,0,0,0,0,0,0,1,0,,,,,,
4413a,0,1,0,0,0,0,0,0,,,,,,
4414a,0,0,0,0,1,0,1,0,,,,,,
4415a,0,0,0,0,1,0,1,0,,,,,,
4416a,0,1,0,0,1,0,1,0,,,,,,
4417a,0,0,0,0,1,0,1,0,,,,,,
4418a,0,0,0,0,0,0,1,0,,,,,,
4419a,0,0,0,0,1,0,0,0,,,,,,
4420a,0,0,0,0,0,0,1,0,,,,,,
4421a,0,1,0,0,1,0,1,0,,,,,,
4422a,0,0,0,0,0,0,1,0,,,,,,
4423a,0,1,0,0,0,0,1,0,,,,,,
4424a,0,0,0,0,1,0,1,0,,,,,,
4425a,0,1,0,0,1,0,1,0,,,,,,
4426a,0,0,0,0,1,0,1,0,,,,,,
4427a,0,0,0,0,0,0,1,0,,,,,,
4428a,0,0,0,0,1,0,0,0,,,,,,
4429a,0,0,0,0,0,0,1,0,,,,,,
4430a,0,1,0,0,0,0,1,0,,,,,,
4431a,0,0,0,0,1,0,0,0,,,,,,
4432a,0,0,0,0,0,0,1,0,,,,,,
4433a,0,1,0,0,1,0,0,0,,,,,,
4434a,0,0,0,0,1,0,0,0,,,,,,
4435a,0,0,0,0,0,0,1,0,,,,,,
4436a,0,1,0,0,0,0,1,0,,,,,,
4437a,0,1,0,0,0,0,0,0,,,,,,
4438a,0,0,0,0,1,0,0,0,,,,,,
4439a,0,0,0,0,0,0,1,0,,,,,,
4440a,0,1,0,0,0,0,0,0,,,,,,
4441a,0,0,0,0,1,0,0,0,,,,,,
4442a,0,1,0,0,0,0,1,0,,,,,,
4443a,0,1,0,0,1,0,0,0,,,,,,
4444a,0,0,0,0,0,0,1,0,,,,,,
4445a,0,0,0,0,1,0,0,0,,,,,,
4446a,0,0,0,0,0,0,1,0,,,,,,
4447a,0,0,0,0,0,0,1,0,,,,,,
4448a,0,0,0,0,1,0,0,0,,,,,,
4449a,0,1,0,0,0,0,1,0,,,,,,
4450a,0,0,0,0,1,0,1,0,,,,,,
4451a,0,1,0,0,0,0,0,0,,,,,,
4452a,0,0,0,0,1,0,1,0,,,,,,
4453a,0,0,0,0,0,0,1,0,,,,,,
4454a,0,1,0,0,0,0,0,0,,,,,,
4455a,0,1,0,0,0,0,0,0,,,,,,
4456a,0,0,0,0,1,0,0,0,,,,,,
4457a,0,0,0,0,1,0,1,0,,,,,,
4458a,0,0,0,0,0,0,1,0,,,,,,
4459a,0,1,0,0,0,0,1,0,,,,,,
4460a,0,1,0,0,0,0,0,0,,,,,,
4461a,0,1,0,0,0,0,0,0,,,,,,
4462a,0,0,0,0,0,0,1,0,,,,,,
4463a,0,1,0,0,0,0,0,0,,,,,,
4464a,0,1,0,0,0,0,0,0,,,,,,
4465a,0,0,0,0,1,0,0,0,,,,,,
4466a,0,0,0,0,0,0,1,0,,,,,,
4467a,0,1,0,0,1,0,0,0,,,,,,
4468a,0,0,0,0,1,0,1,0,,,,,,
4469a,0,1,0,0,0,0,0,0,,,,,,
4470a,0,0,0,0,1,0,0,0,,,,,,
4471a,0,0,0,0,1,0,1,0,,,,,,
4472a,0,1,0,0,1,0,0,0,,,,,,
4473a,0,1,0,0,0,0,0,0,,,,,,
4474a,0,0,0,0,1,0,1,0,,,,,,
4475a,0,0,0,0,0,0,1,0,,,,,,
4476a,0,0,0,0,1,0,1,0,,,,,,
4477a,0,1,0,0,0,0,0,0,,,,,,
4478a,0,0,0,0,1,0,0,0,,,,,,
4479a,0,1,0,0,0,0,0,0,,,,,,
4480a,0,0,0,0,1,0,1,0,,,,,,
4481a,0,0,0,0,0,0,1,0,,,,,,
